scene,cell,metric,ours_mean,cell_mean,diff,ci_lo,ci_hi,significant,n_ours,n_cell,z,p
nominal,ppo,stats.tracking_error_ema,1.1994324238781913,1.1834081472719418,-0.0160242766062495,-0.3094882882759431,0.2669504525653723,False,138,136,,
nominal,ppo,stats.filter_lambda,0.2572911852864,0.0,-0.2572911852864,-0.33068213276689346,-0.18720135743003247,True,138,136,,
nominal,react_soft,stats.wall_violation,0.2028985507246377,0.21481481481481482,0.011916264090177126,-0.08357487922705314,0.10708534621578097,False,138,135,0.2421941043838271,0.8086297631065202
nominal,react_soft,stats.wall_viol_frac,0.17894801670226498,0.1835528532663981,0.00460483656413313,-0.08360965865773662,0.0949806202187438,False,138,135,,
nominal,react_soft,stats.wall_depth,0.0990615706419255,0.09470979051704355,-0.0043517801248819515,-0.07184523140493819,0.06279416057040975,False,138,135,,
nominal,react_soft,stats.min_wall_dist,0.38029686609903973,0.37825447850757177,-0.0020423875914679646,-0.14760578239045663,0.14398625422359088,False,138,135,,
nominal,react_soft,stats.tracking_error_ema,1.1994324238781913,1.2133431434631348,0.013910719584943498,-0.265226035443511,0.29932500810087936,False,138,135,,
nominal,react_soft,stats.filter_lambda,0.2572911852864,0.22499718187268794,-0.03229400341371205,-0.1316390276447685,0.06523178254718863,False,138,135,,
strong,mpc_only,stats.wall_violation,0.6051282051282051,0.9705882352941176,0.36546003016591255,0.289894419306184,0.43947963800904977,True,195,136,7.609009541793336,2.762043622518361e-14
strong,mpc_only,stats.wall_viol_frac,0.4787630831749532,0.6176512224321985,0.1388881392572453,0.03734403095841115,0.24362277360450052,True,195,136,,
strong,mpc_only,stats.wall_depth,0.18424759107486655,0.4526408843230456,0.26839329324817907,0.19198035795778237,0.3430428220847807,True,195,136,,
strong,mpc_only,stats.min_wall_dist,-0.16761880593422132,-0.46200131712590947,-0.2943825111916881,-0.3798069251577059,-0.20987060218976408,True,195,136,,
strong,mpc_only,stats.tracking_error_ema,2.4867473111702845,1.9502475489588345,-0.53649976221145,-0.6741191288825478,-0.39441050871903305,True,195,136,,
strong,mpc_only,stats.filter_lambda,0.6774130785109437,0.9999998807907104,0.32258680227976677,0.2640397045166094,0.38341325659128017,True,195,136,,
strong,ppo,stats.wall_violation,0.6051282051282051,0.5751295336787565,-0.029998671449448566,-0.12780789159027495,0.0679155041849342,False,195,193,-0.6007552035419964,0.5480030447592537
strong,ppo,stats.wall_viol_frac,0.4787630831749532,0.514016970725627,0.035253887550673824,-0.061177409332870906,0.13193755555623665,False,195,193,,
strong,ppo,stats.wall_depth,0.18424759107486655,0.20285550050835252,0.018607909433485975,-0.06379292746229409,0.10251669649670951,False,195,193,,
strong,ppo,stats.min_wall_dist,-0.16761880593422132,-0.21760719674856552,-0.0499883908143442,-0.16418543133999988,0.06235173543622897,False,195,193,,
strong,ppo,stats.tracking_error_ema,2.4867473111702845,2.570808280471693,0.0840609693014085,-0.03989644503585912,0.21442487738161445,False,195,193,,
strong,ppo,stats.filter_lambda,0.6774130785109437,0.0,-0.6774130785109437,-0.7357663916927619,-0.61666433939995,True,195,193,,
strong,react_soft,stats.wall_violation,0.6051282051282051,0.646875,0.04174679487179489,-0.04343149038461534,0.1290104166666666,False,195,320,0.9523587281306406,0.3409150830457689
strong,react_soft,stats.wall_viol_frac,0.4787630831749532,0.5828030133692982,0.10403993019434499,0.017122360911287562,0.18950746284715,True,195,320,,
strong,react_soft,stats.wall_depth,0.18424759107486655,0.1752264474584308,-0.009021143616435745,-0.07950734481248474,0.05869936912786349,False,195,320,,
strong,react_soft,stats.min_wall_dist,-0.16761880593422132,-0.24119039457291364,-0.07357158863869231,-0.17278162572783634,0.023279513870962852,False,195,320,,
strong,react_soft,stats.tracking_error_ema,2.4867473111702845,2.708536623045802,0.22178931187551765,0.12317918842634541,0.32447275623010513,True,195,320,,
strong,react_soft,stats.filter_lambda,0.6774130785109437,0.6900047300794621,0.01259165156851838,-0.061615389707801116,0.08756614752284277,False,195,320,,
